country,population,date,active_cases,cases_per_million,total_cases,deaths_per_million,total_deaths,tests_per_million,total_tests,CFR
Eritrea,3662244,2026-02-16,0,2782,10189,28,103,6470,23693,1.0108941014819903
Niger,26083660,2026-02-16,729,381,9931,12,312,9759,254538,3.141677575269359
Montserrat,4965,2026-02-16,19,282578,1403,1611,8,3577442,17762,0.5702066999287242
China,1448471400,2026-02-16,118977,347,503302,4,5272,110461,160000000,1.0474824260583109
Liberia,5305117,2026-02-16,12,1525,8090,56,295,26356,139824,3.646477132262052
Nauru,10903,2026-02-16,45,494635,5393,92,1,1881042,20509,0.018542555164101613
Caribbean-Netherlands,26647,2026-02-16,1168,438398,11682,1426,38,1130559,30126,0.32528676596473205
Guinea-Bissau,2063367,2026-02-16,508,4659,9614,86,177,70385,145231,1.841065113376326
Chad,17413580,2026-02-16,2633,442,7701,11,194,10988,191341,2.519153356706921
Sint-Maarten,43966,2026-02-16,54,251353,11051,2093,92,1411454,62056,0.8325038458058095
Wallis-and-Futuna,10982,2026-02-16,3104,323256,3550,728,8,1867419,20508,0.22535211267605634
St-Barth,9945,2026-02-16,0,553746,5507,603,6,7908095,78646,0.10895224260032686
Saint-Kitts-and-Nevis,53871,2026-02-16,0,122645,6607,891,48,2356704,126958,0.7265021946420462
St-Vincent-Grenadines,111551,2026-02-16,57,86723,9674,1112,124,1023720,114197,1.281786231135001
Antigua-and-Barbuda,99509,2026-02-16,6,91509,9106,1467,146,189943,18901,1.6033384581594552
Sierra-Leone,8306436,2026-02-16,0,937,7779,15,126,31296,259958,1.619745468569225
British-Virgin-Islands,30596,2026-02-16,0,241600,7392,2092,64,3508269,107339,0.8658008658008658
Cook-Islands,17571,2026-02-16,51,409937,7203,114,2,1120596,19690,0.027766208524226017
Sao-Tome-and-Principe,227679,2026-02-16,13,29770,6778,351,80,130008,29600,1.1802891708468575
Turks-and-Caicos,39741,2026-02-16,3,169900,6752,1007,40,15520193,616788,0.5924170616113744
Palau,18233,2026-02-16,4,344979,6290,548,10,3917841,71434,0.1589825119236884
Anguilla,15230,2026-02-16,0,256336,3904,788,12,3373736,51382,0.3073770491803279
Saint-Pierre-Miquelon,5759,2026-02-16,1001,599410,3452,347,2,4410488,25400,0.057937427578215524
Cayman-Islands,67277,2026-02-16,22882,467797,31472,550,37,3311280,222773,0.1175648195221149
Congo,5797805,2026-02-16,983,4377,25375,67,386,59991,347815,1.5211822660098522
Djibouti,1016097,2026-02-16,74,15441,15690,186,189,301094,305941,1.2045889101338432
Greenland,56973,2026-02-16,9189,210117,11971,369,21,2894810,164926,0.1754239411912121
Equatorial-Guinea,1496662,2026-02-16,139,11512,17229,122,183,244342,365697,1.062162632770329
Somalia,16841795,2026-02-16,12791,1623,27334,81,1361,23778,400466,4.979146850076828
Bermuda,61939,2026-02-16,10,304493,18860,2664,165,16622128,1029558,0.8748674443266171
Gambia,2558482,2026-02-16,65,4935,12626,145,372,60851,155686,2.946301283066688
Grenada,113475,2026-02-16,97,173545,19693,2097,238,1612523,182981,1.2085512618696999
Vanuatu,321832,2026-02-16,29,37346,12019,44,14,77606,24976,0.11648223645894001
Timor-Leste,1369429,2026-02-16,220,17131,23460,101,138,203391,278529,0.5882352941176471
